zcta,aland_sqm
02048,52069118
02050,75362830
02052,37318906
02053,29879659
02054,31164729
02056,38493628
02061,54246184
02062,26826603
02066,42721854
02067,58731269
02071,2513406
02072,41670027
02081,46424947
02090,28221401
02093,56219435
02108,353358
02109,448840
02110,469251
02111,700224
02113,259757
02114,1162385
02115,1836714
02116,1633046
02118,2839684
02119,4137559
02120,1607478
02121,4520354
02122,5270574
02124,7758278
02125,5523152
02126,5387101
02127,5239742
02128,12563922
02129,3499683
02130,8635978
02131,6699882
02132,11808867
02134,3435165
02135,6822281
02136,11890069
02138,7098374
02139,4034617
02140,2990655
02141,1667391
02142,719893
02143,3999023
02144,2799324
02145,3615599
02148,13066949
02149,8856260
02150,5735572
02151,15211072
02152,5108651
02155,21228073
02163,256728
02169,23235623
02170,5394633
02171,6352156
02176,12127466
02180,15578670
02184,35644608
02186,33711128
02188,9634170
02189,9858678
02190,18414935
02191,5242345
02199,148225
02203,82171
02210,2488786
02215,1981389
02301,32228044
02302,23013124
02322,11115310
02324,70570115
02330,96621980
02332,61390975
02333,44630174
02338,41372342
02339,40242021
02341,38901365
02343,18155761
02346,178290068
02347,77181717
02351,25046980
02356,35508752
02357,1246201
02359,56415180
02360,247306797
02364,48285472
02366,2451504
02367,38023287
02368,26090268
02370,26700171
02375,37733413
02379,39692759
02382,17964377
02420,17059772
02421,25506285
02445,6743004
02446,3333348
02451,14310760
02452,9586090
02453,9085534
02457,413238
02458,5171354
02459,12958668
02460,3480846
02461,3768932
02462,1367322
02464,1460808
02465,5807431
02466,4634944
02467,12621078
02468,3837205
02472,10455341
02474,7899974
02476,5420982
02478,12026310
02481,14610658
02482,10910005
02492,24707594
02493,43564285
02494,7164570
02532,36962585
02534,5926616
02535,63107429
02536,71670621
02537,31606613
02538,11746740
02539,69445842
02540,27756366
02542,79528762
02543,25727686
02553,658312
02554,104576984
02556,10012378
02557,18612830
02558,3184647
02559,13041007
02561,1591746
02562,8730843
02563,34225401
02564,14885746
02568,17230825
02571,51515326
02575,64744359
02576,25203958
02584,174589
02601,22258203
02630,10385649
02631,57063530
02632,18957572
02633,19573226
02635,14345673
02637,1812603
02638,15369512
02639,7190413
02641,5400049
02642,35952115
02643,4905161
02644,9269409
02645,43105136
02646,7798440
02647,1226878
02648,24027326
02649,60224553
02650,3728757
02651,186321
02652,20715925
02653,31268859
02655,16910116
02657,25046216
02659,5297709
02660,19969417
02663,3658747
02664,17965431
02666,32936951
02667,48233020
02668,39334863
02669,2426995
02670,5400806
02671,5212192
02672,1280229
02673,25891317
02675,23382611
02702,43472374
02703,69371088
02713,13095107
02715,29666585
02717,45791490
02718,26803279
02719,32070891
02720,28156632
02721,10571739
02723,4136130
02724,4812989
02725,6146865
02726,14314308
02738,36591437
02739,44896932
02740,14726481
02743,47731841
02744,3342654
02745,26753643
02746,5480313
02747,126408707
02748,58248119
02760,46498478
02762,28458092
02763,2338180
02764,27446974
02766,72088057
02767,61638094
02769,121557135
02770,83286321
02771,47613581
02777,58680542
02779,42767440
02780,85571693
02790,139047019
02791,2730588
02802,506818
02804,26153983
02806,21273227
02807,23521354
02808,20626470
02809,25420432
02812,17198230
02813,94456653
02814,116013346
02815,10805285
02816,98151879
02817,130009750
02818,56574276
02822,144693825
02825,139873663
02826,6470214
02827,54707655
02828,12358329
02830,49991801
02831,24944367
02832,57864758
02833,18297866
02835,24469391
02836,676100
02837,53175662
02838,3703227
02839,11122348
02840,18702901
02841,1208306
02842,32900267
02852,79952365
02857,108097718
02858,1497066
02859,73495004
02860,13996576
02861,9231842
02863,3108581
02864,68425530
02865,43124330
02871,44115207
02872,15405407
02873,7300848
02874,39280308
02875,2989257
02876,328103
02878,75316639
02879,96795674
02881,9360445
02882,33139324
02885,15882012
02886,38635923
02888,15359539
02889,22525872
02891,68257271
02892,71119703
02893,20296689
02894,11226896
02895,20075390
02896,61542365
02898,29915649
02903,4536527
02904,13521034
02905,9527801
02906,8390572
02907,5704336
02908,8185843
02909,8971158
02910,8927847
02911,6451960
02912,112446
02914,12648956
02915,14343072
02916,6638701
02917,55272934
02919,60973036
02920,23817776
02921,34078092
03031,89187833
03032,65573639
03033,51339606
03034,85426307
03036,67438895
03037,124615043
03038,92817258
03042,67261071
03043,80593019
03044,43947417
03045,92719672
03046,79948056
03047,68424456
03048,76532233
03049,82108587
03051,73273980
03052,38583320
03053,106434031
03054,84397675
03055,64781148
03057,43680255
03060,16931395
03062,31254018
03063,21006853
03064,10707693
03070,111380283
03071,84734786
03076,68175732
03077,76310277
03079,64297400
03082,74009521
03084,57292643
03086,69838248
03087,69266007
03101,2004382
03102,23425474
03103,25251422
03104,21411266
03106,93601257
03109,19069583
03110,84892477
03215,124336440
03216,98912935
03217,28378457
03218,37076125
03220,79286336
03221,119418336
03222,188550174
03223,189782901
03224,104533512
03225,75616402
03226,34824384
03227,167995366
03229,112234306
03230,106140667
03231,5686669
03233,1457142
03234,89060545
03235,77022339
03237,95893606
03238,7138906
03240,107420990
03241,107562876
03242,114016447
03243,68271679
